Query #,Binary euclidean - precision,Binary cosine - precision,Binary euclidean - recall,Binary cosine - recall,Binary euclidean - F-measure,Binary cosine - F-measure,TF euclidean - precision,TF cosine - precision,TF euclidean - recall,TF cosine - recall,TF euclidean - F-measure,TF cosine - F-measure,TF-IDF euclidean - precision,TF-IDF cosine - precision,TF-IDF euclidean - recall,TF-IDF cosine - recall,TF-IDF euclidean - F-measure,TF-IDF cosine - F-measure
1,0.13333333333333333,0.26666666666666666,0.06896551724137931,0.13793103448275862,0.09090909090909091,0.18181818181818182,0.2,0.4,0.10344827586206896,0.20689655172413793,0.13636363636363635,0.2727272727272727,0.3333333333333333,0.3333333333333333,0.1724137931034483,0.1724137931034483,0.22727272727272724,0.22727272727272724
2,0.0,0.06666666666666667,0.0,0.04,0,0.05,0.2,0.2,0.12,0.12,0.15,0.15,0.3333333333333333,0.3333333333333333,0.2,0.2,0.25,0.25
3,0.13333333333333333,0.26666666666666666,0.2222222222222222,0.4444444444444444,0.16666666666666669,0.33333333333333337,0.2,0.26666666666666666,0.3333333333333333,0.4444444444444444,0.25,0.33333333333333337,0.5333333333333333,0.5333333333333333,0.8888888888888888,0.8888888888888888,0.6666666666666667,0.6666666666666667
4,0.0,0.06666666666666667,0.0,0.3333333333333333,0,0.1111111111111111,0.0,0.06666666666666667,0.0,0.3333333333333333,0,0.1111111111111111,0.13333333333333333,0.13333333333333333,0.6666666666666666,0.6666666666666666,0.2222222222222222,0.2222222222222222
5,0.0,0.13333333333333333,0.0,0.4,0,0.2,0.0,0.0,0.0,0.0,0,0,0.13333333333333333,0.13333333333333333,0.4,0.4,0.2,0.2
6,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
7,0.06666666666666667,0.2,0.16666666666666666,0.5,0.09523809523809522,0.28571428571428575,0.13333333333333333,0.13333333333333333,0.3333333333333333,0.3333333333333333,0.19047619047619044,0.19047619047619044,0.13333333333333333,0.13333333333333333,0.3333333333333333,0.3333333333333333,0.19047619047619044,0.19047619047619044
8,0.06666666666666667,0.2,0.08333333333333333,0.25,0.07407407407407407,0.22222222222222224,0.13333333333333333,0.2,0.16666666666666666,0.25,0.14814814814814814,0.22222222222222224,0.2,0.2,0.25,0.25,0.22222222222222224,0.22222222222222224
9,0.0,0.2,0.0,0.75,0,0.31578947368421056,0.2,0.2,0.75,0.75,0.31578947368421056,0.31578947368421056,0.2,0.2,0.75,0.75,0.31578947368421056,0.31578947368421056
10,0.06666666666666667,0.3333333333333333,0.1111111111111111,0.5555555555555556,0.08333333333333334,0.4166666666666667,0.06666666666666667,0.13333333333333333,0.1111111111111111,0.2222222222222222,0.08333333333333334,0.16666666666666669,0.2,0.2,0.3333333333333333,0.3333333333333333,0.25,0.25
11,0.0,0.06666666666666667,0.0,0.125,0,0.08695652173913045,0.13333333333333333,0.13333333333333333,0.25,0.25,0.1739130434782609,0.1739130434782609,0.13333333333333333,0.2,0.25,0.375,0.1739130434782609,0.26086956521739135
12,0.0,0.13333333333333333,0.0,0.3333333333333333,0,0.19047619047619044,0.06666666666666667,0.0,0.16666666666666666,0.0,0.09523809523809522,0,0.13333333333333333,0.13333333333333333,0.3333333333333333,0.3333333333333333,0.19047619047619044,0.19047619047619044
13,0.0,0.06666666666666667,0.0,0.2,0,0.1,0.0,0.0,0.0,0.0,0,0,0.06666666666666667,0.06666666666666667,0.2,0.2,0.1,0.1
14,0.0,0.06666666666666667,0.0,0.3333333333333333,0,0.1111111111111111,0.06666666666666667,0.06666666666666667,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.06666666666666667,0.06666666666666667,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.1111111111111111
15,0.0,0.13333333333333333,0.0,0.6666666666666666,0,0.2222222222222222,0.06666666666666667,0.06666666666666667,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.13333333333333333,0.13333333333333333,0.6666666666666666,0.6666666666666666,0.2222222222222222,0.2222222222222222
16,0.0,0.13333333333333333,0.0,0.5,0,0.2105263157894737,0.13333333333333333,0.2,0.5,0.75,0.2105263157894737,0.31578947368421056,0.2,0.2,0.75,0.75,0.31578947368421056,0.31578947368421056
17,0.0,0.06666666666666667,0.0,0.3333333333333333,0,0.1111111111111111,0.06666666666666667,0.13333333333333333,0.3333333333333333,0.6666666666666666,0.1111111111111111,0.2222222222222222,0.13333333333333333,0.13333333333333333,0.6666666666666666,0.6666666666666666,0.2222222222222222,0.2222222222222222
